block_id,A,B,C,D,probability
0,45,3,120,50,1.0
1,31,145,75,10,1.0
2,2,3,88,150,1.0
3,31,3,88,88,1.0
4,2,145,88,88,1.0
5,2,3,120,150,1.0
6,2,3,88,150,1.0
7,2,3,120,88,1.0
8,31,74,120,88,1.0
9,45,145,24,88,1.0
10,31,3,75,88,0.4000000000000001
10,31,74,75,88,0.0
10,31,145,75,88,0.0
10,31,555,75,88,0.6
11,31,3,24,150,0.0
11,31,74,24,150,0.0
11,31,145,24,150,0.0
11,31,555,24,150,0.0
11,31,3,75,150,0.20000000000000007
11,31,74,75,150,0.0
11,31,145,75,150,0.0
11,31,555,75,150,0.3
11,31,3,88,150,0.0
11,31,74,88,150,0.0
11,31,145,88,150,0.0
11,31,555,88,150,0.0
11,31,3,120,150,0.20000000000000004
11,31,74,120,150,0.0
11,31,145,120,150,0.0
11,31,555,120,150,0.29999999999999993
12,2,145,120,88,1.0
13,2,145,75,10,1.0
14,31,74,24,150,1.0
15,2,3,120,150,1.0
16,45,3,88,88,1.0
17,45,145,120,88,1.0
18,2,3,88,150,1.0
19,2,74,88,88,1.0
20,2,3,120,10,1.0
21,45,3,120,50,1.0
22,45,145,120,150,1.0
23,2,555,88,88,1.0
24,45,145,24,88,1.0
25,45,145,88,50,1.0
26,45,145,88,10,1.0
27,31,3,75,88,0.4000000000000001
27,31,74,75,88,0.0
27,31,145,75,88,0.0
27,31,555,75,88,0.6
28,31,555,24,10,1.0
29,31,3,88,88,0.4000000000000001
29,31,74,88,88,0.0
29,31,145,88,88,0.0
29,31,555,88,88,0.6
30,45,3,24,150,1.0
31,31,145,24,10,0.0
31,31,145,75,10,0.923076923076923
31,31,145,88,10,0.0
31,31,145,120,10,0.07692307692307693
32,2,555,88,50,1.0
33,45,3,24,10,0.0
33,45,3,75,10,0.8
33,45,3,88,10,0.0
33,45,3,120,10,0.2
34,2,555,88,88,1.0
35,45,3,88,88,1.0
36,45,3,24,88,1.0
37,31,555,75,50,1.0
38,2,555,75,88,1.0
39,31,555,120,88,1.0
40,31,3,120,88,1.0
41,31,74,120,150,1.0
42,2,3,120,88,0.6
42,2,74,120,88,0.0
42,2,145,120,88,0.0
42,2,555,120,88,0.4000000000000001
43,31,145,24,150,1.0
44,31,3,88,88,0.4000000000000001
44,31,74,88,88,0.0
44,31,145,88,88,0.0
44,31,555,88,88,0.6
45,45,74,88,88,1.0
46,31,3,75,88,1.0
47,31,3,24,88,0.4000000000000001
47,31,74,24,88,0.0
47,31,145,24,88,0.0
47,31,555,24,88,0.6
48,45,74,24,88,0.0
48,45,74,75,88,0.3333333333333333
48,45,74,88,88,0.0
48,45,74,120,88,0.6666666666666666
49,2,145,24,10,0.0
49,2,145,75,10,0.6666666666666666
49,2,145,88,10,0.0
49,2,145,120,10,0.3333333333333333
50,31,145,75,150,1.0
51,2,3,88,50,1.0
52,2,74,88,50,1.0
53,2,145,88,150,1.0
54,2,555,88,50,1.0
55,31,74,88,10,1.0
56,31,145,120,10,1.0
57,2,145,88,150,1.0
58,2,145,120,150,1.0
59,31,3,24,88,1.0
60,2,145,88,88,1.0
61,45,3,24,88,1.0
62,31,74,24,88,1.0
63,31,3,24,88,1.0
64,2,555,120,88,1.0
65,31,74,88,10,0.0
65,31,74,88,50,0.5
65,31,74,88,88,0.0
65,31,74,88,150,0.5
66,45,145,88,10,1.0
67,31,3,120,50,1.0
68,31,74,75,10,1.0
69,31,3,24,10,0.4000000000000001
69,31,74,24,10,0.0
69,31,145,24,10,0.0
69,31,555,24,10,0.6
70,31,555,120,50,1.0
71,2,145,24,88,0.0
71,2,145,75,88,0.2
71,2,145,88,88,0.0
71,2,145,120,88,0.8
72,45,3,88,10,0.0
72,45,3,88,50,0.5
72,45,3,88,88,0.0
72,45,3,88,150,0.5
73,31,145,24,10,0.0
73,31,145,75,10,0.923076923076923
73,31,145,88,10,0.0
73,31,145,120,10,0.07692307692307693
74,31,555,24,150,1.0
75,2,3,120,88,1.0
76,31,3,75,50,0.4000000000000001
76,31,74,75,50,0.0
76,31,145,75,50,0.0
76,31,555,75,50,0.6
77,31,555,75,50,1.0
78,31,3,24,88,1.0
79,2,145,88,10,1.0
80,2,145,88,88,1.0
81,45,145,24,88,1.0
82,31,145,24,88,1.0
83,31,555,88,10,1.0
84,2,74,75,10,1.0
85,31,145,24,88,1.0
86,2,145,120,88,1.0
87,45,3,75,10,0.8
87,45,74,75,10,0.0
87,45,145,75,10,0.0
87,45,555,75,10,0.2
88,31,555,24,50,1.0
89,2,74,120,150,1.0
90,45,145,120,88,1.0
91,2,145,24,88,1.0
92,31,3,75,10,0.0
92,31,3,75,50,0.75
92,31,3,75,88,0.0
92,31,3,75,150,0.25000000000000006
93,31,555,24,88,1.0
94,2,3,75,88,1.0
95,2,3,120,50,1.0
96,2,145,88,10,1.0
97,31,74,75,50,1.0
98,2,145,120,88,1.0
99,31,555,75,10,1.0
100,2,145,88,10,1.0
101,45,3,24,150,1.0
102,45,74,24,88,1.0
103,45,3,120,10,1.0
104,31,3,75,50,0.4000000000000001
104,31,74,75,50,0.0
104,31,145,75,50,0.0
104,31,555,75,50,0.6
105,45,3,120,88,1.0
106,45,145,75,88,1.0
107,31,145,88,10,1.0
108,2,145,88,10,1.0
109,31,74,24,150,1.0
110,45,3,120,88,1.0
111,45,3,88,10,1.0
112,2,74,120,10,1.0
113,2,145,120,88,1.0
114,45,3,88,50,1.0
115,2,145,75,10,1.0
116,2,74,88,88,1.0
117,45,3,24,10,0.0
117,45,3,24,50,0.3333333333333333
117,45,3,24,88,0.0
117,45,3,24,150,0.6666666666666666
118,31,74,75,10,1.0
119,2,555,88,50,1.0
120,31,74,24,150,1.0
121,31,74,88,150,1.0
122,2,145,120,88,1.0
123,2,3,24,150,0.6
123,2,74,24,150,0.0
123,2,145,24,150,0.0
123,2,555,24,150,0.4000000000000001
124,2,145,88,50,1.0
125,2,555,120,150,1.0
126,2,555,88,50,1.0
127,2,3,88,88,1.0
128,31,74,120,88,1.0
129,2,555,120,150,1.0
130,31,145,88,10,0.0
130,31,145,88,50,0.5
130,31,145,88,88,0.0
130,31,145,88,150,0.5
131,2,555,120,88,1.0
132,31,145,24,50,1.0
133,45,3,88,50,1.0
134,45,3,88,50,1.0
135,45,3,24,50,1.0
136,31,74,24,88,1.0
137,45,145,120,88,1.0
138,2,145,88,88,1.0
139,31,555,24,10,1.0
140,2,555,120,10,1.0
141,31,3,24,150,1.0
142,45,3,88,150,1.0
143,45,555,24,150,1.0
144,31,555,24,150,1.0
145,45,3,88,88,1.0
146,31,145,75,88,1.0
147,31,145,75,10,1.0
148,31,3,88,50,0.4000000000000001
148,31,74,88,50,0.0
148,31,145,88,50,0.0
148,31,555,88,50,0.6
149,31,145,88,150,1.0
150,2,145,24,150,0.0
150,2,145,75,150,0.14285714285714288
150,2,145,88,150,0.0
150,2,145,120,150,0.8571428571428571
151,2,3,120,88,1.0
152,45,145,120,150,1.0
153,45,3,24,10,0.0
153,45,3,24,50,0.3333333333333333
153,45,3,24,88,0.0
153,45,3,24,150,0.6666666666666666
154,45,145,88,150,1.0
155,45,145,75,10,1.0
156,31,145,24,150,1.0
157,2,555,75,150,1.0
158,45,3,88,88,1.0
159,31,555,24,88,1.0
160,45,3,120,150,1.0
161,2,74,75,10,1.0
162,31,555,88,10,1.0
163,45,3,120,88,0.8
163,45,74,120,88,0.0
163,45,145,120,88,0.0
163,45,555,120,88,0.2
164,2,74,24,50,0.0
164,2,74,75,50,0.4285714285714286
164,2,74,88,50,0.0
164,2,74,120,50,0.5714285714285715
165,2,3,75,10,1.0
166,2,74,120,88,1.0
167,2,74,120,88,1.0
168,45,145,24,50,0.0
168,45,145,75,50,0.5999999999999999
168,45,145,88,50,0.0
