A,B,C
20,98,78
18,98,245
13,98,123
2,24,78
20,24,245
18,98,245
2,3,78
20,24,123
18,24,15
18,14,123
20,3,78
18,98,245
20,14,15
2,24,4
20,98,78
20,14,245
2,98,15
2,14,78
2,3,245
2,3,245
13,24,123
13,24,78
13,98,123
18,24,123
2,3,78
2,3,78
13,24,15
20,3,245
18,24,123
13,24,78
20,98,123
20,3,78
18,24,4
13,14,15
20,3,4
20,24,15
2,3,4
18,3,78
20,24,4
18,24,4
20,3,245
20,24,4
13,14,245
20,98,15
18,24,4
13,14,123
13,98,15
13,98,123
2,98,4
18,24,78
18,14,4
2,3,15
18,24,245
2,98,4
18,98,245
18,3,123
18,14,123
13,24,123
18,3,245
18,3,15
20,98,78
18,3,245
18,24,78
18,24,78
18,3,245
13,24,4
13,24,4
2,3,15
18,24,78
13,3,78
20,14,15
18,24,4
20,14,78
20,24,15
20,3,78
18,3,15
2,3,15
2,14,123
20,3,123
18,98,78
18,24,15
20,98,78
2,14,15
20,98,123
18,98,245
20,14,15
18,24,245
18,24,245
20,98,123
20,24,4
20,3,123
20,14,78
13,98,15
18,3,78
18,98,15
18,24,78
18,98,245
20,14,123
20,3,78
20,24,15
20,24,4
2,3,78
18,98,245
20,3,78
20,14,245
20,24,245
13,24,245
13,3,15
13,14,78
20,14,245
2,14,4
2,14,4
20,14,78
2,24,245
20,98,4
2,98,123
13,98,123
18,3,123
18,14,245
18,3,78
20,24,245
13,14,245
18,98,245
20,24,78
20,98,245
18,3,78
20,14,245
13,3,78
18,98,245
13,24,123
18,14,78
13,3,78
20,3,78
20,3,78
13,14,15
18,14,15
13,98,123
13,3,15
18,98,245
20,3,78
20,24,78
2,98,245
2,98,78
2,24,245
18,98,78
2,3,78
20,24,78
18,14,245
2,3,78
2,24,123
20,14,245
20,3,245
2,3,78
2,14,78
13,24,78
2,98,245
18,24,78
13,3,78
20,3,4
13,3,123
2,3,78
2,3,15
20,3,123
20,98,78
20,14,15
2,3,15
13,3,123
2,98,15
18,14,78
2,98,78
20,24,78
13,3,245
13,14,123
2,24,245
13,24,15
13,24,123
2,98,15
20,3,78
13,98,78
2,3,78
20,24,245
13,98,15
20,24,15
20,14,15
18,3,78
18,14,245
20,3,15
20,14,4
13,24,15
18,3,4
20,24,245
20,3,78
20,3,78
20,98,123
2,24,245
18,3,4
20,3,15
18,3,245
20,24,78
18,3,245
20,3,245
18,98,123
20,98,123
18,24,123
20,14,123
20,14,123
20,14,123
20,3,78
20,3,123
2,14,15
20,24,4
2,24,15
18,24,245
2,14,4
2,98,15
20,14,245
2,14,78
13,3,123
13,24,245
2,14,245
20,3,15
18,24,78
2,3,4
18,24,78
20,24,245
13,98,15
2,14,4
18,14,4
18,24,245
18,3,15
20,14,123
18,3,245
13,24,245
2,24,245
20,24,78
18,14,78
2,98,4
2,3,15
18,24,245
18,3,245
18,24,123
13,98,78
2,3,78
13,14,78
13,3,15
18,98,245
18,3,15
2,24,4
20,98,15
2,24,123
18,98,78
13,14,123
20,14,78
2,3,78
13,14,4
18,3,78
13,14,4
13,24,4
18,3,15
20,98,4
13,3,4
2,24,15
18,3,78
13,14,123
2,3,245
20,3,78
2,24,15
2,3,4
18,3,78
20,98,123
18,3,78
13,24,4
20,24,123
18,24,123
13,3,78
18,14,4
13,3,123
13,24,123
20,14,4
18,98,78
18,24,4
18,14,123
20,24,123
13,98,78
18,98,245
13,24,4
18,98,245
2,24,123
2,24,4
20,3,245
20,24,245
20,24,15
2,3,15
13,14,78
20,24,4
20,3,15
20,98,78
13,3,123
18,24,78
2,14,15
