A,B,C
2,10,4
2,10,7
2,10,7
2,10,4
2,10,4
2,10,4
2,10,4
2,10,4
2,10,4
1,100,4
2,10,4
1,100,4
1,10,4
1,100,4
2,10,4
2,10,4
2,10,4
2,10,4
2,10,7
2,10,7
2,100,4
2,10,4
1,100,4
2,10,4
2,10,7
2,10,4
2,10,4
2,100,4
2,10,4
2,10,4
2,10,4
1,100,4
2,10,4
2,10,4
2,10,7
2,10,4
1,100,4
2,10,4
2,10,4
1,100,7
2,10,4
2,10,7
2,10,4
1,100,4
1,100,4
2,100,4
2,100,4
1,100,4
1,100,4
1,10,7
2,10,4
2,10,7
2,10,7
2,100,4
2,10,4
1,100,4
2,10,7
2,10,4
2,10,4
1,100,4
2,10,4
2,10,4
2,10,4
2,10,7
2,10,4
1,10,4
2,10,4
2,10,7
2,10,7
2,10,7
2,10,4
1,100,4
2,10,7
2,10,4
1,100,7
2,10,4
2,10,4
2,10,4
1,100,4
2,10,4
2,10,4
2,10,4
2,10,4
2,10,4
2,10,7
2,10,4
2,10,4
2,10,4
2,10,4
2,10,7
2,10,4
1,100,4
2,10,4
2,10,4
2,10,4
1,100,4
2,10,4
2,10,4
1,100,4
2,10,4
2,10,7
2,10,4
2,10,7
2,10,4
2,10,7
2,10,7
2,10,4
2,10,4
2,10,7
2,10,4
2,10,7
2,10,7
1,10,4
2,10,7
2,10,4
1,100,4
2,10,4
1,10,4
1,100,4
1,100,4
2,10,7
2,10,7
2,10,7
2,10,4
2,10,4
2,10,7
2,10,4
2,100,4
2,10,4
2,10,4
2,10,7
2,10,4
1,100,4
2,10,7
2,10,7
2,10,4
2,10,4
2,100,4
2,10,4
2,10,4
1,100,4
2,10,7
2,10,4
2,100,7
2,10,4
2,10,7
2,10,7
2,10,4
2,10,7
2,10,4
2,10,4
2,100,4
2,10,4
1,100,4
2,10,7
2,10,4
2,10,4
2,10,4
2,10,7
2,100,7
2,10,7
2,10,4
2,10,4
2,10,4
1,100,4
2,10,4
2,10,4
1,100,4
2,10,4
2,10,4
2,100,4
2,100,4
2,10,4
2,100,4
2,10,4
2,100,4
2,10,4
2,10,4
2,100,4
2,10,4
2,10,4
2,10,4
2,10,4
2,10,7
2,10,4
2,10,4
2,100,4
2,10,4
2,10,4
2,100,4
1,100,4
2,10,4
1,10,4
2,10,4
2,100,4
2,10,4
2,10,7
1,100,7
2,10,4
1,100,4
2,100,4
2,10,4
2,10,4
2,100,7
2,100,4
2,10,4
1,100,4
1,10,4
2,10,4
2,10,4
2,100,4
1,100,7
2,10,7
2,10,4
2,10,4
2,10,4
2,10,4
2,10,4
2,10,4
2,10,4
2,10,4
2,10,4
2,10,4
2,10,7
1,100,4
2,10,4
2,10,4
1,100,4
2,10,4
2,10,4
1,100,4
2,10,7
2,10,4
2,10,7
2,10,4
2,10,4
1,100,4
2,10,4
2,10,4
2,10,4
2,10,4
2,10,4
2,10,4
2,10,4
2,100,4
1,100,4
2,100,4
2,10,4
2,100,4
1,10,4
2,10,4
2,10,7
1,10,4
2,10,4
2,10,4
2,100,4
2,10,7
2,10,4
2,10,4
2,10,4
2,10,4
1,100,4
2,10,4
2,10,4
1,10,4
2,10,4
2,100,4
1,100,4
2,100,4
2,10,4
1,100,4
1,10,4
2,10,4
2,10,4
2,10,4
2,10,4
2,100,4
2,10,4
2,10,4
2,10,7
2,10,4
1,100,7
2,10,7
2,100,4
1,100,4
2,10,4
2,10,4
2,10,4
2,10,4
2,10,7
2,10,7
2,10,7
2,10,4
2,10,4
2,10,4
2,10,4
2,10,7
1,100,4
2,10,7
2,10,4
