A,B,C
254,345,254
589,345,254
21,147,789
53,345,41
589,200,789
53,33,254
254,94,254
589,200,41
589,33,789
21,147,65
53,33,41
53,147,789
53,33,41
589,147,254
21,94,65
53,200,254
589,345,41
21,147,65
53,33,41
589,33,41
53,345,254
254,345,65
254,147,789
21,94,65
21,147,65
589,200,789
589,200,254
53,147,789
254,147,65
53,345,65
53,200,789
53,147,65
254,200,254
53,345,65
53,345,65
53,345,65
21,345,254
254,33,41
589,147,41
53,147,65
53,147,65
589,200,789
254,94,41
254,200,65
254,200,65
589,33,65
589,147,789
53,147,789
589,33,41
21,94,65
254,94,789
53,345,254
21,345,65
53,200,65
21,33,65
21,147,789
53,345,41
254,200,65
53,345,41
254,345,41
254,147,65
53,200,254
21,147,65
53,345,254
53,147,41
589,33,41
21,345,65
53,200,41
53,345,65
53,147,65
21,94,65
254,147,41
53,345,41
21,147,65
53,345,254
589,200,65
589,200,254
53,200,65
589,147,789
53,345,254
254,33,41
254,147,41
53,147,65
21,345,65
254,345,41
21,147,65
53,147,41
53,147,65
254,94,65
53,345,254
21,94,65
254,33,41
53,147,254
53,345,254
53,147,41
21,94,65
254,345,41
254,94,254
53,345,65
589,33,41
53,33,65
53,147,65
53,345,254
53,200,254
53,200,41
21,345,65
53,200,65
21,94,41
21,33,789
254,147,65
53,147,254
589,147,65
589,33,254
21,147,41
53,200,41
53,345,41
589,345,65
254,147,41
589,147,254
53,147,789
254,200,254
589,147,41
254,147,41
21,33,65
53,147,65
254,200,254
254,94,789
254,147,789
254,200,789
254,345,65
589,33,41
53,345,41
53,147,254
589,345,254
21,147,65
21,94,65
21,345,789
53,147,65
53,147,41
53,147,41
254,147,41
53,345,65
254,94,65
21,94,65
53,200,41
53,147,41
589,200,254
21,345,65
53,147,41
254,200,65
589,345,789
53,200,41
21,147,65
254,94,65
21,94,65
53,345,41
254,147,65
254,147,65
589,200,254
53,147,41
254,94,65
589,147,789
589,200,789
53,200,65
21,147,254
53,147,65
254,200,65
589,147,254
21,147,41
53,147,41
53,345,789
254,147,65
589,147,41
53,147,65
589,200,41
21,33,65
254,147,65
53,345,65
21,33,254
254,94,65
254,200,254
254,200,65
589,33,41
53,33,41
254,200,65
53,147,65
589,33,789
53,147,65
254,94,65
21,345,41
21,147,41
254,147,41
254,147,789
254,200,65
53,345,65
53,147,41
21,33,65
254,147,41
53,345,41
53,345,41
21,33,789
589,200,41
21,147,41
53,147,65
589,147,789
53,345,65
21,33,65
53,345,789
21,94,65
53,200,65
254,147,41
53,33,65
53,345,254
21,147,65
589,33,254
53,33,41
21,345,789
53,200,65
53,147,65
589,147,254
53,345,41
254,147,254
254,200,789
53,200,65
254,147,789
53,147,41
53,147,41
53,147,254
254,147,65
254,94,41
21,147,65
53,345,254
254,94,65
53,147,65
53,147,789
21,345,41
589,147,65
589,33,254
589,200,789
53,345,789
53,200,41
589,147,789
53,147,65
589,200,65
21,33,254
53,33,65
589,33,789
53,345,65
53,200,789
254,94,789
21,147,41
254,345,41
53,345,254
589,345,65
589,345,789
53,33,41
53,345,41
589,345,41
53,147,41
254,200,65
254,200,254
53,147,65
53,200,65
254,147,41
254,345,41
254,147,65
53,200,41
53,200,65
21,147,65
53,147,789
53,147,789
254,94,65
254,94,65
589,200,789
21,33,65
53,147,254
53,147,254
53,345,65
21,94,65
53,345,254
53,147,41
254,147,41
589,200,789
21,94,254
53,200,254
53,200,65
53,345,65
53,345,254
53,147,254
53,147,65
21,94,254
21,33,65
53,147,41
589,200,41
254,200,254
21,147,65
53,147,65
254,147,65
53,345,254
53,33,254
