A,B,C
78,12,45
78,155,45
78,12,178
34,45,178
56,198,356
34,45,45
56,45,178
34,155,356
34,45,356
34,198,45
56,155,178
78,12,356
21,12,356
34,155,45
34,45,178
34,45,356
21,198,45
56,12,356
34,45,45
21,155,356
56,155,98
21,198,356
34,155,178
78,12,178
21,198,356
78,155,45
78,155,45
56,155,45
34,45,45
78,198,98
21,12,178
21,12,178
56,198,356
78,155,178
78,198,45
78,155,356
21,12,356
56,155,178
21,12,45
34,12,356
78,198,178
56,12,98
34,45,45
78,198,98
34,45,178
21,12,356
56,12,178
34,155,45
56,12,45
21,12,356
56,12,178
21,12,178
21,155,45
56,45,178
56,198,45
56,12,178
34,12,98
78,198,356
34,155,356
34,198,98
21,155,178
56,198,98
56,12,178
56,12,45
21,155,178
56,198,178
56,198,356
21,45,356
78,12,356
34,198,356
56,155,178
78,198,178
21,12,98
78,155,356
56,155,98
21,155,356
56,155,178
78,12,45
78,198,178
56,155,45
21,155,178
78,155,356
34,45,178
56,155,178
78,198,356
78,155,45
34,12,178
34,45,45
34,45,356
21,155,45
56,12,178
34,198,356
78,198,356
21,12,98
34,45,178
21,198,356
78,198,98
21,12,178
78,12,98
78,155,98
56,198,356
21,155,178
56,155,356
34,12,45
56,155,45
78,155,45
56,198,178
56,12,45
56,198,356
78,12,178
21,155,45
78,12,45
56,12,178
56,155,356
21,12,98
21,12,356
21,155,45
56,12,178
56,12,45
21,12,45
21,198,45
56,198,356
21,12,356
21,155,45
56,198,45
21,12,98
34,45,178
21,45,178
78,155,356
78,198,98
21,45,178
34,155,356
56,198,356
34,155,178
21,155,178
56,155,98
21,45,178
21,12,178
34,12,98
34,198,356
56,155,45
56,198,356
56,198,178
21,155,45
34,155,356
34,198,356
78,155,45
56,155,356
56,198,356
34,155,178
56,12,45
21,155,356
56,45,356
56,155,45
21,12,98
78,198,356
56,155,178
78,155,45
78,155,45
34,155,178
34,155,178
34,45,45
21,155,178
21,12,98
34,45,356
21,155,356
56,12,98
34,198,45
34,155,178
78,12,45
21,12,356
56,155,45
21,12,178
78,155,45
21,155,45
21,198,45
78,155,45
34,45,178
78,155,178
78,198,45
56,12,356
56,198,98
56,198,356
21,12,356
78,155,178
78,12,356
56,198,356
21,155,98
34,45,178
21,155,356
21,45,45
34,45,178
78,155,356
78,12,98
78,198,356
56,155,178
56,198,45
78,198,45
34,45,356
56,155,356
78,155,178
56,198,45
21,155,178
56,45,98
21,155,178
21,12,45
78,155,356
21,198,45
78,155,45
34,155,45
78,155,45
56,198,45
56,12,45
21,155,178
34,45,178
78,198,178
21,12,356
34,12,45
21,198,178
21,12,178
34,12,178
78,12,178
34,45,178
34,155,98
56,198,178
78,155,356
56,12,356
21,12,45
21,12,98
21,12,45
56,155,356
56,12,178
21,12,178
78,155,178
56,45,356
21,45,178
56,155,45
56,12,98
21,155,178
34,45,356
56,198,356
56,198,356
34,45,45
56,12,98
34,155,356
21,12,356
34,45,178
34,45,178
21,45,356
21,155,178
34,45,45
56,12,356
78,198,356
56,198,356
34,45,45
34,12,45
78,198,356
34,45,45
78,198,356
21,155,45
56,12,356
56,12,178
56,12,178
21,198,45
78,155,356
56,45,98
21,12,45
21,12,45
78,155,45
21,12,98
21,12,178
78,12,356
34,155,356
21,12,178
21,12,178
21,155,178
34,45,178
21,45,178
34,12,356
78,198,356
21,155,356
78,12,98
56,155,178
78,155,356
78,155,178
21,12,45
78,155,178
34,45,356
78,198,178
56,155,178
56,155,356
78,155,356
78,155,356
21,155,45
34,198,178
78,155,178
78,198,178
21,155,45
21,12,178
78,12,98
56,12,178
78,155,45
78,155,178
34,198,178
34,45,98
34,45,356
56,155,356
56,45,45
21,12,356
34,45,178
21,12,98
56,198,178
78,198,45
56,12,356
21,12,45
78,198,45
56,155,45
56,155,178
21,12,98
56,155,356
56,45,178
78,155,178
21,12,178
78,155,178
21,155,45
56,198,178
21,198,45
78,12,178
34,45,356
34,45,178
21,155,178
21,198,356
56,198,178
56,198,356
21,155,178
78,198,45
21,12,45
56,198,356
21,155,356
34,12,98
56,198,178
78,155,356
56,12,45
34,155,356
21,198,98
56,198,178
56,12,45
21,12,356
78,155,178
78,198,178
34,198,98
78,198,45
78,12,178
56,45,356
21,155,98
34,155,178
78,155,178
34,45,356
21,12,178
21,12,178
21,12,45
34,45,356
56,198,178
56,198,356
21,155,45
34,45,356
78,155,45
56,155,45
34,155,356
56,155,45
34,155,356
21,155,45
78,198,356
56,12,45
78,155,178
21,12,178
34,12,178
21,12,178
21,198,356
21,155,356
56,12,98
56,12,178
56,45,356
56,155,356
78,155,98
21,45,178
56,12,98
21,12,356
78,198,178
21,155,356
56,155,178
78,155,45
34,45,178
78,12,98
56,12,178
56,155,356
78,198,178
21,12,98
34,155,45
21,12,98
78,155,45
34,45,98
56,12,98
56,45,45
34,155,45
21,12,356
21,155,45
34,155,356
34,155,356
56,12,356
56,198,356
56,155,356
78,12,178
78,198,356
56,198,356
21,155,45
56,198,178
34,45,178
21,198,178
78,12,45
21,155,356
56,12,178
78,12,178
34,45,356
78,155,178
34,45,178
56,12,178
56,155,356
56,198,356
34,45,356
78,12,356
56,12,178
78,12,45
21,12,178
21,45,98
56,12,178
56,12,356
78,198,356
34,45,178
34,45,45
78,12,356
21,12,98
21,198,45
21,12,356
56,198,98
56,12,45
56,12,356
78,198,356
34,12,356
34,12,178
56,198,356
78,198,178
34,45,45
21,12,356
56,155,178
21,155,98
34,198,356
56,198,98
78,198,178
56,155,356
56,12,98
56,155,178
78,198,178
56,12,178
56,198,356
56,155,178
78,198,356
56,12,178
78,155,45
34,12,45
21,155,178
78,155,178
78,198,98
34,45,45
78,155,356
78,198,178
56,198,178
21,12,356
56,12,98
21,12,98
78,198,356
21,155,178
56,12,178
78,155,98
56,45,356
56,198,45
56,12,45
21,198,178
21,12,178
21,45,178
56,198,45
21,155,45
78,155,356
21,155,356
