block_id,A,B,C,D,probability
0,31,145,24,88,1.0
1,45,145,24,10,0.0
1,45,145,24,50,0.3333333333333333
1,45,145,24,88,0.0
1,45,145,24,150,0.6666666666666666
2,2,145,75,150,1.0
3,2,3,88,150,1.0
4,45,3,75,88,0.8
4,45,74,75,88,0.0
4,45,145,75,88,0.0
4,45,555,75,88,0.2
5,2,555,120,10,0.0
5,2,555,120,50,0.4000000000000001
5,2,555,120,88,0.0
5,2,555,120,150,0.6
6,31,555,24,150,1.0
7,31,74,88,10,1.0
8,2,3,88,150,1.0
9,31,145,120,50,1.0
10,31,555,120,10,0.0
10,31,555,120,50,0.4000000000000001
10,31,555,120,88,0.0
10,31,555,120,150,0.6
11,31,3,24,88,0.25000000000000006
11,31,74,24,88,0.0
11,31,145,24,88,0.0
11,31,555,24,88,0.75
12,2,3,120,10,0.0
12,2,3,120,50,0.4000000000000001
12,2,3,120,88,0.0
12,2,3,120,150,0.6
13,31,555,88,10,1.0
14,31,74,75,10,1.0
15,2,555,75,10,1.0
16,45,145,120,10,1.0
17,31,145,24,150,1.0
18,31,74,75,88,1.0
19,2,3,88,88,1.0
20,2,145,88,50,1.0
21,45,145,75,10,1.0
22,2,3,75,10,1.0
23,2,74,88,88,1.0
24,31,555,88,50,1.0
25,31,145,120,50,1.0
26,2,145,24,150,1.0
27,31,3,120,88,1.0
28,2,74,24,150,1.0
29,2,555,75,150,1.0
30,2,555,120,10,1.0
31,31,145,120,150,1.0
32,31,3,88,88,0.4
32,31,74,88,88,0.0
32,31,145,88,88,0.0
32,31,555,88,88,0.6
33,2,74,75,88,1.0
34,2,145,88,50,1.0
35,45,145,24,10,0.0
35,45,145,24,50,0.3333333333333333
35,45,145,24,88,0.0
35,45,145,24,150,0.6666666666666666
36,2,555,120,150,1.0
37,2,74,120,88,1.0
38,31,74,24,150,1.0
39,31,74,75,10,1.0
40,2,74,120,50,1.0
41,2,145,88,88,1.0
42,31,3,24,50,0.09090909090909091
42,31,3,75,50,0.2727272727272727
42,31,3,88,50,0.2727272727272727
42,31,3,120,50,0.36363636363636365
43,31,145,75,88,1.0
44,31,74,24,88,1.0
45,31,145,120,150,1.0
46,2,145,24,10,1.0
47,2,74,75,10,1.0
48,31,3,88,88,1.0
49,31,145,88,50,1.0
50,31,145,88,10,1.0
51,31,74,75,10,1.0
52,31,555,88,88,1.0
53,2,74,75,50,1.0
54,2,555,75,150,1.0
55,2,3,88,10,1.0
56,31,74,24,50,1.0
57,2,3,120,88,1.0
58,31,555,88,88,1.0
59,31,555,120,50,1.0
60,31,555,120,150,1.0
61,45,145,120,88,1.0
62,2,3,24,10,1.0
63,31,145,75,10,1.0
64,31,145,24,150,1.0
65,2,145,120,88,1.0
66,2,3,75,88,1.0
67,2,145,120,10,1.0
68,2,3,24,50,0.09090909090909091
68,2,3,75,50,0.2727272727272727
68,2,3,88,50,0.2727272727272727
68,2,3,120,50,0.36363636363636365
69,2,145,88,88,1.0
70,2,145,88,88,1.0
71,2,145,24,50,0.18181818181818182
71,2,145,75,50,0.2727272727272727
71,2,145,88,50,0.36363636363636365
71,2,145,120,50,0.18181818181818182
72,45,3,120,88,0.8421052631578948
72,45,74,120,88,0.0
72,45,145,120,88,0.0
72,45,555,120,88,0.15789473684210525
73,2,74,88,150,1.0
74,31,3,120,88,1.0
75,2,145,75,10,1.0
76,31,145,120,88,1.0
77,31,74,24,150,1.0
78,45,3,75,50,1.0
79,31,555,88,88,1.0
80,2,145,88,10,1.0
81,31,145,75,10,1.0
82,31,555,88,150,1.0
83,31,74,120,150,1.0
84,2,145,88,88,1.0
85,45,3,88,88,1.0
86,31,74,88,150,1.0
87,2,74,24,150,1.0
88,45,145,75,10,0.0
88,45,145,75,50,0.75
88,45,145,75,88,0.0
88,45,145,75,150,0.25000000000000006
89,31,74,88,88,1.0
90,2,555,120,150,1.0
91,31,74,24,88,1.0
92,2,74,24,10,1.0
93,31,555,120,10,0.0
93,31,555,120,50,0.4000000000000001
93,31,555,120,88,0.0
93,31,555,120,150,0.6
94,2,3,120,88,1.0
95,31,74,88,10,1.0
96,2,3,88,88,1.0
97,31,74,75,50,1.0
98,2,3,88,88,1.0
99,45,74,24,10,1.0
100,45,145,75,150,1.0
101,45,3,24,88,1.0
102,31,145,88,10,1.0
103,45,145,75,10,1.0
104,31,145,120,10,1.0
105,45,145,88,88,1.0
106,2,145,120,88,1.0
107,2,3,75,50,1.0
108,45,74,24,88,1.0
109,31,74,120,150,1.0
110,2,3,75,10,0.6
110,2,74,75,10,0.0
110,2,145,75,10,0.0
110,2,555,75,10,0.4
111,31,74,88,88,1.0
