block_id,A,B,probability
0,43,88,1.0
1,43,44444,1.0
2,11,44444,1.0
3,32,1000,1.0
4,32,88,0.1
4,32,1000,0.4
4,32,44444,0.5
5,43,44444,1.0
6,11,44444,1.0
7,43,88,0.25
7,43,1000,0.25
7,43,44444,0.5
8,32,44444,1.0
9,32,88,0.1
9,32,1000,0.4
9,32,44444,0.5
10,11,44444,1.0
11,32,44444,1.0
12,43,44444,1.0
13,11,88,0.0
13,11,1000,0.0
13,11,44444,1.0
14,43,44444,1.0
15,11,88,0.0
15,11,1000,0.0
15,11,44444,1.0
16,11,44444,1.0
17,11,44444,1.0
18,11,44444,1.0
19,11,44444,1.0
20,11,44444,1.0
21,11,44444,1.0
22,11,44444,1.0
23,43,44444,1.0
24,11,44444,1.0
25,32,1000,1.0
26,11,88,0.0
26,11,1000,0.0
26,11,44444,1.0
27,11,44444,1.0
28,11,44444,1.0
29,11,88,0.0
29,11,1000,0.0
29,11,44444,1.0
30,43,44444,1.0
31,11,44444,1.0
32,11,44444,1.0
33,43,44444,1.0
34,11,44444,1.0
35,32,44444,1.0
36,11,44444,1.0
37,11,44444,1.0
38,11,44444,1.0
39,11,88,0.0
39,11,1000,0.0
39,11,44444,1.0
40,11,44444,1.0
41,11,44444,1.0
42,11,88,0.0
42,11,1000,0.0
42,11,44444,1.0
43,43,88,1.0
44,11,44444,1.0
45,32,44444,1.0
46,11,44444,1.0
47,11,44444,1.0
48,43,88,0.25
48,43,1000,0.25
48,43,44444,0.5
49,11,88,0.0
49,11,1000,0.0
49,11,44444,1.0
50,32,88,0.1
50,32,1000,0.4
50,32,44444,0.5
51,32,1000,1.0
52,43,88,1.0
53,43,88,0.25
53,43,1000,0.25
53,43,44444,0.5
54,32,1000,1.0
55,11,44444,1.0
56,11,88,0.0
56,11,1000,0.0
56,11,44444,1.0
57,43,44444,1.0
58,11,88,0.0
58,11,1000,0.0
58,11,44444,1.0
59,11,88,0.0
59,11,1000,0.0
59,11,44444,1.0
60,11,44444,1.0
61,43,88,0.25
61,43,1000,0.25
61,43,44444,0.5
62,11,44444,1.0
63,43,88,1.0
64,32,88,0.1
64,32,1000,0.4
64,32,44444,0.5
65,43,44444,1.0
66,43,44444,1.0
67,11,44444,1.0
68,11,88,0.0
68,11,1000,0.0
68,11,44444,1.0
69,32,44444,1.0
70,11,44444,1.0
71,43,44444,1.0
72,32,88,1.0
73,11,44444,1.0
74,11,88,0.0
74,11,1000,0.0
74,11,44444,1.0
75,11,88,0.0
75,11,1000,0.0
75,11,44444,1.0
76,43,88,0.25
76,43,1000,0.25
76,43,44444,0.5
77,43,88,1.0
78,11,44444,1.0
79,11,44444,1.0
80,11,44444,1.0
81,43,1000,1.0
82,43,1000,1.0
83,11,88,0.0
83,11,1000,0.0
83,11,44444,1.0
84,43,88,1.0
85,11,44444,1.0
86,11,88,0.0
86,11,1000,0.0
86,11,44444,1.0
87,43,88,0.25
87,43,1000,0.25
87,43,44444,0.5
88,43,44444,1.0
89,11,44444,1.0
90,43,88,0.25
90,43,1000,0.25
90,43,44444,0.5
91,43,44444,1.0
92,11,44444,1.0
93,11,44444,1.0
94,11,88,0.0
94,11,1000,0.0
94,11,44444,1.0
95,11,88,0.0
95,11,1000,0.0
95,11,44444,1.0
96,32,44444,1.0
97,43,44444,1.0
98,11,44444,1.0
99,11,88,0.0
99,11,1000,0.0
99,11,44444,1.0
100,11,44444,1.0
101,43,44444,1.0
102,43,88,0.25
102,43,1000,0.25
102,43,44444,0.5
103,43,88,0.25
103,43,1000,0.25
103,43,44444,0.5
104,32,88,0.1
104,32,1000,0.4
104,32,44444,0.5
105,11,44444,1.0
106,11,44444,1.0
107,11,44444,1.0
108,11,44444,1.0
109,11,88,0.0
109,11,1000,0.0
109,11,44444,1.0
110,11,44444,1.0
111,11,44444,1.0
112,11,44444,1.0
113,11,88,0.0
113,11,1000,0.0
113,11,44444,1.0
114,32,1000,1.0
115,11,44444,1.0
116,11,88,0.0
116,11,1000,0.0
116,11,44444,1.0
117,32,44444,1.0
118,11,44444,1.0
119,11,44444,1.0
120,11,88,0.0
120,11,1000,0.0
120,11,44444,1.0
121,43,1000,1.0
122,11,44444,1.0
123,32,88,0.1
123,32,1000,0.4
123,32,44444,0.5
124,11,44444,1.0
125,11,88,0.0
125,11,1000,0.0
125,11,44444,1.0
126,11,44444,1.0
127,11,44444,1.0
128,11,88,0.0
128,11,1000,0.0
128,11,44444,1.0
129,32,1000,1.0
130,43,88,1.0
131,32,44444,1.0
132,11,88,0.0
132,11,1000,0.0
132,11,44444,1.0
133,11,44444,1.0
134,11,44444,1.0
135,11,44444,1.0
136,43,88,0.25
136,43,1000,0.25
136,43,44444,0.5
137,43,44444,1.0
138,11,44444,1.0
139,11,44444,1.0
140,11,44444,1.0
141,32,44444,1.0
142,43,44444,1.0
143,11,44444,1.0
144,11,44444,1.0
145,11,44444,1.0
146,43,88,0.25
146,43,1000,0.25
146,43,44444,0.5
147,32,1000,1.0
148,11,88,0.0
148,11,1000,0.0
148,11,44444,1.0
149,11,88,0.0
149,11,1000,0.0
149,11,44444,1.0
150,32,1000,1.0
151,43,44444,1.0
152,11,44444,1.0
153,43,44444,1.0
154,11,88,0.0
154,11,1000,0.0
154,11,44444,1.0
155,11,44444,1.0
156,43,44444,1.0
157,43,44444,1.0
158,11,44444,1.0
159,32,88,0.1
159,32,1000,0.4
159,32,44444,0.5
160,11,88,0.0
160,11,1000,0.0
160,11,44444,1.0
161,11,44444,1.0
162,11,88,0.0
162,11,1000,0.0
162,11,44444,1.0
163,43,44444,1.0
164,11,88,0.0
164,11,1000,0.0
164,11,44444,1.0
165,11,88,0.0
165,11,1000,0.0
165,11,44444,1.0
166,32,44444,1.0
167,11,44444,1.0
168,43,1000,1.0
169,43,88,0.25
169,43,1000,0.25
169,43,44444,0.5
170,32,44444,1.0
171,11,44444,1.0
172,32,44444,1.0
173,43,44444,1.0
174,43,44444,1.0
175,11,44444,1.0
176,43,88,1.0
177,11,44444,1.0
178,43,44444,1.0
179,43,44444,1.0
180,43,44444,1.0
181,32,44444,1.0
182,11,44444,1.0
183,11,44444,1.0
184,11,44444,1.0
185,43,88,1.0
186,32,88,0.1
186,32,1000,0.4
186,32,44444,0.5
187,43,44444,1.0
188,11,88,0.0
188,11,1000,0.0
188,11,44444,1.0
189,43,88,0.25
189,43,1000,0.25
189,43,44444,0.5
190,11,44444,1.0
191,11,88,0.0
191,11,1000,0.0
191,11,44444,1.0
192,32,44444,1.0
193,43,1000,1.0
194,11,88,0.0
194,11,1000,0.0
194,11,44444,1.0
195,43,1000,1.0
196,11,44444,1.0
197,43,88,0.25
197,43,1000,0.25
197,43,44444,0.5
198,11,88,0.0
198,11,1000,0.0
198,11,44444,1.0
199,43,44444,1.0
200,11,44444,1.0
201,11,44444,1.0
202,43,88,0.25
202,43,1000,0.25
202,43,44444,0.5
203,43,1000,1.0
204,32,88,0.1
204,32,1000,0.4
204,32,44444,0.5
205,11,88,0.0
205,11,1000,0.0
205,11,44444,1.0
206,43,1000,1.0
207,43,88,1.0
208,43,1000,1.0
209,43,88,1.0
210,11,44444,1.0
211,32,1000,1.0
212,43,88,0.25
212,43,1000,0.25
212,43,44444,0.5
213,11,44444,1.0
214,11,44444,1.0
215,11,44444,1.0
216,11,88,0.0
216,11,1000,0.0
216,11,44444,1.0
217,11,44444,1.0
218,11,44444,1.0
219,11,44444,1.0
220,11,44444,1.0
221,11,44444,1.0
222,43,44444,1.0
223,11,44444,1.0
224,11,44444,1.0
225,11,44444,1.0
226,11,44444,1.0
227,11,88,0.0
227,11,1000,0.0
227,11,44444,1.0
228,11,44444,1.0
229,11,88,0.0
229,11,1000,0.0
229,11,44444,1.0
230,11,44444,1.0
231,43,44444,1.0
