block_id,A,B,C,D,probability
0,45,3,75,120,1.0
1,2,3,24,88,0.0
1,2,74,24,88,0.0
1,2,145,24,88,0.0
1,2,555,24,88,0.0
1,2,3,75,88,0.2
1,2,74,75,88,0.0
1,2,145,75,88,0.0
1,2,555,75,88,0.13333333333333336
1,2,3,88,88,0.0
1,2,74,88,88,0.0
1,2,145,88,88,0.0
1,2,555,88,88,0.0
1,2,3,120,88,0.4
1,2,74,120,88,0.0
1,2,145,120,88,0.0
1,2,555,120,88,0.2666666666666667
2,45,145,88,88,1.0
3,45,3,24,88,0.8
3,45,74,24,88,0.0
3,45,145,24,88,0.0
3,45,555,24,88,0.2
4,2,3,75,24,1.0
5,45,3,24,24,0.0
5,45,3,75,24,0.5
5,45,3,88,24,0.0
5,45,3,120,24,0.5
6,45,145,75,24,0.0
6,45,145,75,75,0.5
6,45,145,75,88,0.0
6,45,145,75,120,0.5
7,31,3,88,120,0.4
7,31,74,88,120,0.0
7,31,145,88,120,0.0
7,31,555,88,120,0.6
8,2,145,75,75,1.0
9,2,3,120,120,1.0
10,31,74,120,88,1.0
11,45,145,120,24,0.0
11,45,145,120,75,0.5
11,45,145,120,88,0.0
11,45,145,120,120,0.5
12,31,74,120,88,1.0
13,45,3,88,120,1.0
14,45,145,88,88,1.0
15,31,145,75,24,0.0
15,31,145,75,75,0.75
15,31,145,75,88,0.0
15,31,145,75,120,0.25
16,2,145,120,24,0.0
16,2,145,120,75,0.3333333333333333
16,2,145,120,88,0.0
16,2,145,120,120,0.6666666666666666
17,31,555,75,24,0.0
17,31,555,75,75,0.75
17,31,555,75,88,0.0
17,31,555,75,120,0.25
18,31,555,75,24,1.0
19,31,74,88,24,1.0
20,31,3,24,75,0.4
20,31,74,24,75,0.0
20,31,145,24,75,0.0
20,31,555,24,75,0.6
21,2,3,120,88,1.0
22,2,3,88,88,0.6
22,2,74,88,88,0.0
22,2,145,88,88,0.0
22,2,555,88,88,0.4
23,31,555,24,24,1.0
