block_id,A,B,probability
0,1,10,1.0
1,1,10,0.6
1,1,100,0.2
1,1,1000,0.2
2,1,100,1.0
3,1,1000,1.0
4,1,100,1.0
5,3,1000,1.0
6,1,100,1.0
7,1,10,1.0
8,1,10,1.0
9,1,1000,1.0
10,1,10,1.0
11,1,10,0.7499999999999999
11,2,10,0.15
11,3,10,0.10000000000000002
12,1,10,1.0
13,1,10,1.0
14,3,1000,1.0
15,3,100,1.0
16,1,100,1.0
17,2,100,1.0
18,1,100,1.0
19,1,10,1.0
20,2,100,1.0
21,1,10,0.6
21,1,100,0.2
21,1,1000,0.2
22,2,100,1.0
23,1,10,0.7499999999999999
23,2,10,0.15
23,3,10,0.10000000000000002
24,1,100,1.0
25,1,10,0.7499999999999999
25,2,10,0.15
25,3,10,0.10000000000000002
26,3,1000,1.0
27,1,10,1.0
28,1,10,0.7499999999999999
28,2,10,0.15
28,3,10,0.10000000000000002
29,1,1000,1.0
30,1,10,0.8823529411764706
30,1,100,0.0
30,1,1000,0.0
30,2,10,0.0
30,2,100,0.0
30,2,1000,0.0
30,3,10,0.11764705882352941
30,3,100,0.0
30,3,1000,0.0
31,3,10,0.2
31,3,100,0.2
31,3,1000,0.6
32,3,10,0.2
32,3,100,0.2
32,3,1000,0.6
33,1,100,1.0
34,1,10,0.6
34,1,100,0.2
34,1,1000,0.2
35,2,100,1.0
36,2,1000,1.0
37,1,1000,1.0
38,1,100,1.0
39,1,1000,1.0
40,2,100,1.0
41,3,1000,1.0
42,2,1000,1.0
43,1,10,1.0
44,3,1000,1.0
45,2,100,1.0
46,1,10,0.6
46,1,100,0.2
46,1,1000,0.2
47,3,10,0.2
47,3,100,0.2
47,3,1000,0.6
48,1,100,1.0
49,2,1000,1.0
50,2,10,1.0
51,2,100,1.0
52,1,10,0.6
52,1,100,0.2
52,1,1000,0.2
53,1,1000,1.0
54,1,1000,1.0
55,1,10,0.6
55,1,100,0.2
55,1,1000,0.2
56,2,100,1.0
57,3,10,1.0
58,3,1000,1.0
59,1,10,1.0
60,2,100,1.0
61,1,10,1.0
62,1,10,1.0
63,3,1000,1.0
64,1,10,0.7499999999999999
64,2,10,0.15
64,3,10,0.10000000000000002
65,1,100,1.0
66,2,10,1.0
67,1,10,0.6
67,1,100,0.2
67,1,1000,0.2
68,1,10,1.0
69,1,10,1.0
70,1,10,1.0
71,2,100,1.0
72,2,10,1.0
73,1,10,1.0
74,2,100,1.0
75,1,10,0.7499999999999999
75,2,10,0.15
75,3,10,0.10000000000000002
76,2,1000,1.0
77,1,10,0.7499999999999999
77,2,10,0.15
77,3,10,0.10000000000000002
78,1,10,1.0
79,3,1000,1.0
80,1,100,1.0
81,3,10,0.2
81,3,100,0.2
81,3,1000,0.6
82,2,1000,1.0
83,1,10,0.6
83,1,100,0.2
83,1,1000,0.2
84,3,1000,1.0
85,3,10,1.0
86,1,10,0.8823529411764706
86,1,100,0.0
86,1,1000,0.0
86,2,10,0.0
86,2,100,0.0
86,2,1000,0.0
86,3,10,0.11764705882352941
86,3,100,0.0
86,3,1000,0.0
87,3,10,0.2
87,3,100,0.2
87,3,1000,0.6
88,1,10,1.0
89,1,10,1.0
90,1,1000,1.0
91,1,10,1.0
92,3,1000,1.0
93,1,10,1.0
94,1,10,1.0
95,1,10,0.6
95,1,100,0.2
95,1,1000,0.2
96,1,10,0.7499999999999999
96,2,10,0.15
96,3,10,0.10000000000000002
97,2,100,1.0
98,1,10,1.0
99,2,100,1.0
100,2,100,1.0
101,3,1000,1.0
102,1,10,1.0
103,1,10,0.6
103,1,100,0.2
103,1,1000,0.2
104,3,10,0.2
104,3,100,0.2
104,3,1000,0.6
105,2,100,1.0
106,1,10,0.6
106,1,100,0.2
106,1,1000,0.2
107,2,100,1.0
108,2,10,1.0
109,1,10,1.0
110,1,1000,1.0
111,3,10,0.2
111,3,100,0.2
111,3,1000,0.6
112,2,100,1.0
113,1,1000,1.0
114,1,1000,1.0
115,3,1000,1.0
116,1,10,0.7499999999999999
116,2,10,0.15
116,3,10,0.10000000000000002
