block_id,A,B,C,D,probability
0,45,74,88,88,1.0
1,45,3,88,24,1.0
2,45,145,88,75,1.0
3,2,145,88,88,1.0
4,31,3,75,24,1.0
5,2,3,75,75,0.6
5,2,74,75,75,0.0
5,2,145,75,75,0.0
5,2,555,75,75,0.4000000000000001
6,2,555,120,75,1.0
7,2,74,88,24,0.0
7,2,74,88,75,0.3333333333333333
7,2,74,88,88,0.0
7,2,74,88,120,0.6666666666666666
8,2,145,120,120,1.0
9,31,145,24,75,0.0
9,31,145,75,75,0.75
9,31,145,88,75,0.0
9,31,145,120,75,0.25000000000000006
10,31,74,75,75,1.0
11,2,74,75,120,1.0
12,2,74,24,120,1.0
13,45,145,24,88,1.0
14,45,74,24,120,1.0
15,31,555,24,75,1.0
16,45,145,88,75,1.0
17,31,74,24,120,1.0
18,31,3,24,24,0.4000000000000001
18,31,74,24,24,0.0
18,31,145,24,24,0.0
18,31,555,24,24,0.6
19,31,555,24,88,1.0
20,2,3,120,75,1.0
21,45,145,120,88,1.0
22,31,555,75,88,1.0
23,2,3,120,88,1.0
24,31,3,75,24,0.4000000000000001
24,31,74,75,24,0.0
24,31,145,75,24,0.0
24,31,555,75,24,0.6
25,31,555,24,24,1.0
26,2,3,120,120,1.0
27,31,74,24,24,1.0
28,2,145,88,88,1.0
29,31,3,24,24,1.0
30,2,145,75,88,1.0
31,31,145,24,24,1.0
32,45,3,24,88,1.0
33,31,74,24,75,1.0
34,45,3,120,24,1.0
35,45,145,120,24,1.0
36,31,3,24,75,1.0
37,31,3,24,75,1.0
38,45,145,24,75,1.0
39,45,3,24,75,1.0
40,31,3,88,75,1.0
41,2,145,88,120,1.0
42,31,74,24,24,1.0
43,31,145,75,75,1.0
44,2,145,88,88,1.0
45,2,145,75,75,1.0
46,2,3,88,120,0.6
46,2,74,88,120,0.0
46,2,145,88,120,0.0
46,2,555,88,120,0.4000000000000001
47,2,145,75,75,1.0
48,2,3,88,88,1.0
49,2,3,24,120,1.0
50,2,3,75,75,1.0
51,2,145,120,88,1.0
52,31,3,75,24,1.0
53,45,3,24,120,0.0
53,45,3,75,120,0.5
53,45,3,88,120,0.0
