block_id,A,B,C,D,probability
0,2,145,88,88,1.0
1,45,145,24,88,1.0
2,2,555,75,88,1.0
3,45,3,24,50,1.0
4,2,145,88,50,1.0
5,45,145,75,88,1.0
6,2,145,120,50,1.0
7,31,145,75,50,1.0
8,45,145,88,150,1.0
9,45,3,88,10,1.0
10,31,74,75,88,1.0
11,45,555,88,88,1.0
12,45,145,24,150,1.0
13,45,145,24,50,1.0
14,45,3,75,88,1.0
15,2,3,88,88,1.0
16,45,145,88,10,0.0
16,45,145,88,50,0.5
16,45,145,88,88,0.0
16,45,145,88,150,0.5
17,31,74,88,10,1.0
18,31,74,88,10,1.0
19,31,3,24,150,1.0
20,2,555,75,10,1.0
21,2,3,88,88,1.0
22,2,555,24,88,0.0
22,2,555,75,88,0.2
22,2,555,88,88,0.0
22,2,555,120,88,0.8
23,2,3,120,150,1.0
24,2,145,88,150,1.0
25,45,3,24,10,0.8
25,45,74,24,10,0.0
25,45,145,24,10,0.0
25,45,555,24,10,0.2
26,2,3,88,50,1.0
27,31,3,75,50,1.0
28,31,74,24,88,1.0
29,2,74,88,88,1.0
30,2,3,88,88,1.0
31,31,3,24,50,1.0
32,2,74,75,10,0.0
32,2,74,75,50,0.75
32,2,74,75,88,0.0
32,2,74,75,150,0.25000000000000006
33,45,3,88,88,0.8
33,45,74,88,88,0.0
33,45,145,88,88,0.0
33,45,555,88,88,0.2
34,2,145,88,88,1.0
35,45,145,24,50,1.0
36,31,555,88,88,1.0
37,2,145,88,150,1.0
38,31,555,24,50,1.0
39,45,555,75,10,1.0
40,45,145,88,88,1.0
41,2,555,120,88,1.0
42,2,3,88,88,1.0
43,31,555,24,88,1.0
44,2,555,24,50,1.0
45,45,3,88,10,1.0
46,31,74,75,50,1.0
47,31,555,88,150,1.0
48,31,74,24,10,0.0
48,31,74,24,50,0.3333333333333333
48,31,74,24,88,0.0
48,31,74,24,150,0.6666666666666666
49,2,145,24,88,1.0
50,2,74,24,10,0.0
50,2,74,75,10,0.6666666666666666
50,2,74,88,10,0.0
50,2,74,120,10,0.3333333333333333
51,45,3,120,10,1.0
52,2,74,120,150,1.0
53,31,3,24,10,0.0
53,31,3,24,50,0.3333333333333333
53,31,3,24,88,0.0
53,31,3,24,150,0.6666666666666666
54,31,555,24,88,1.0
