block_id,A,B,C,D,probability
0,2,145,24,150,1.0
1,31,74,75,50,1.0
2,2,145,120,150,1.0
3,45,74,24,88,1.0
4,31,3,75,50,1.0
5,45,555,75,150,1.0
6,45,145,75,50,1.0
7,31,74,88,88,1.0
8,31,145,75,50,1.0
9,31,555,120,50,1.0
10,45,74,24,88,1.0
11,2,145,75,150,1.0
12,31,74,24,88,1.0
13,31,74,24,88,1.0
14,2,555,88,88,1.0
15,45,555,88,150,1.0
16,45,145,75,88,1.0
17,2,3,120,88,0.6666666666666666
17,2,74,120,88,0.0
17,2,145,120,88,0.0
17,2,555,120,88,0.3333333333333333
18,2,3,120,88,1.0
19,2,3,75,10,1.0
20,45,145,88,88,1.0
21,45,145,88,150,1.0
22,2,555,120,10,1.0
23,2,145,24,150,1.0
24,31,555,88,88,1.0
25,2,3,120,88,1.0
26,2,3,75,88,1.0
27,31,3,88,88,1.0
28,45,3,24,50,1.0
29,31,74,75,50,1.0
30,2,3,88,150,1.0
31,2,74,24,10,0.0
31,2,74,24,50,0.3333333333333333
31,2,74,24,88,0.0
31,2,74,24,150,0.6666666666666666
32,2,3,75,10,0.5999999999999999
32,2,74,75,10,0.0
32,2,145,75,10,0.0
32,2,555,75,10,0.4
33,31,3,120,88,0.47058823529411775
33,31,74,120,88,0.0
33,31,145,120,88,0.0
33,31,555,120,88,0.5294117647058822
34,2,74,88,88,1.0
35,31,74,75,10,1.0
36,2,3,24,50,1.0
37,31,3,75,150,1.0
38,45,74,75,50,1.0
39,2,74,88,50,1.0
40,45,555,75,10,1.0
41,45,145,75,10,1.0
42,2,74,24,10,0.0
42,2,74,24,50,0.163265306122449
42,2,74,24,88,0.0
42,2,74,24,150,0.326530612244898
42,2,74,75,10,0.0
42,2,74,75,50,0.18367346938775508
42,2,74,75,88,0.0
42,2,74,75,150,0.06122448979591837
42,2,74,88,10,0.0
42,2,74,88,50,0.0816326530612245
42,2,74,88,88,0.0
42,2,74,88,150,0.0816326530612245
42,2,74,120,10,0.0
42,2,74,120,50,0.04081632653061225
42,2,74,120,88,0.0
42,2,74,120,150,0.06122448979591837
43,31,3,88,88,1.0
44,2,74,75,50,1.0
45,31,145,75,50,1.0
46,2,3,88,88,1.0
47,45,3,120,88,1.0
48,31,74,75,50,1.0
49,31,74,120,150,1.0
50,2,555,88,150,1.0
51,2,74,75,150,1.0
52,31,555,88,50,1.0
53,31,74,75,88,1.0
54,31,145,24,88,1.0
55,2,145,120,50,1.0
56,2,145,75,50,1.0
57,31,3,120,88,1.0
58,2,3,75,10,1.0
59,2,145,120,50,1.0
60,45,145,24,88,1.0
61,45,145,75,88,1.0
62,45,3,120,150,1.0
63,2,145,88,88,1.0
64,2,3,88,50,1.0
65,31,145,88,10,1.0
66,45,145,88,88,1.0
67,31,3,120,150,1.0
68,2,3,88,88,1.0
69,31,555,24,50,0.18181818181818185
69,31,555,75,50,0.2727272727272727
69,31,555,88,50,0.2727272727272727
69,31,555,120,50,0.2727272727272727
70,2,74,120,88,1.0
71,2,145,88,88,1.0
72,45,145,120,50,1.0
73,31,555,88,150,1.0
74,2,3,24,88,1.0
75,31,74,120,88,1.0
76,31,74,75,50,1.0
77,31,555,24,88,1.0
78,2,145,24,150,1.0
79,31,145,88,50,1.0
80,2,3,88,88,1.0
81,45,3,88,10,1.0
82,45,3,24,150,1.0
83,2,3,88,50,1.0
84,2,3,75,50,1.0
85,2,74,24,50,1.0
86,2,3,88,10,1.0
87,2,74,24,150,1.0
88,31,555,24,50,1.0
89,2,145,24,10,1.0
90,2,3,75,10,1.0
91,31,555,120,150,1.0
92,31,145,88,50,1.0
93,31,145,120,88,1.0
94,2,3,24,50,0.09090909090909091
94,2,3,75,50,0.2727272727272727
94,2,3,88,50,0.2727272727272727
94,2,3,120,50,0.36363636363636365
95,31,74,75,88,1.0
96,2,74,24,150,1.0
97,45,3,88,150,1.0
98,2,145,88,150,1.0
99,2,74,24,10,0.0
99,2,74,24,50,0.3333333333333333
99,2,74,24,88,0.0
99,2,74,24,150,0.6666666666666666
100,31,555,120,50,1.0
101,31,3,75,10,1.0
102,31,555,120,150,1.0
103,45,145,88,10,1.0
104,2,3,120,50,1.0
105,45,145,88,10,1.0
106,31,74,24,150,1.0
107,2,145,24,150,1.0
108,31,74,24,50,0.34782608695652173
108,31,74,75,50,0.39130434782608686
108,31,74,88,50,0.17391304347826086
108,31,74,120,50,0.08695652173913043
109,2,145,24,50,1.0
110,2,3,88,88,1.0
111,2,555,24,88,1.0
112,2,145,120,88,1.0
113,31,74,24,50,1.0
114,2,555,120,10,1.0
115,2,3,120,88,1.0
116,2,555,120,50,1.0
117,31,74,75,10,1.0
118,2,74,75,50,1.0
119,45,145,88,10,0.0
119,45,145,88,50,0.5
119,45,145,88,88,0.0
119,45,145,88,150,0.5
120,2,145,88,150,1.0
121,2,145,88,50,1.0
122,31,555,75,50,1.0
123,45,555,120,50,1.0
124,45,3,88,150,1.0
125,31,555,24,10,1.0
126,31,74,88,150,1.0
127,2,145,75,88,1.0
128,2,3,120,88,1.0
129,31,74,75,10,1.0
130,45,3,88,88,1.0
131,2,555,88,88,1.0
132,45,3,120,50,1.0
133,2,145,120,88,1.0
134,2,3,120,150,1.0
135,45,145,88,88,1.0
136,31,145,75,88,1.0
137,2,145,88,88,1.0
138,45,145,88,150,1.0
139,45,3,120,150,1.0
140,31,145,75,50,1.0
141,2,3,75,88,1.0
142,2,3,120,88,0.6666666666666666
142,2,74,120,88,0.0
142,2,145,120,88,0.0
142,2,555,120,88,0.33333333333333337
143,2,3,75,10,1.0
144,31,74,24,10,1.0
145,2,3,120,10,0.0
145,2,3,120,50,0.4000000000000001
145,2,3,120,88,0.0
145,2,3,120,150,0.6
146,31,555,75,88,1.0
147,2,74,88,150,1.0
148,2,145,75,50,1.0
149,2,74,24,50,1.0
150,31,74,75,88,1.0
151,31,145,88,88,1.0
152,45,3,120,150,1.0
153,45,3,88,88,1.0
154,31,74,24,150,1.0
155,2,555,88,88,1.0
156,31,74,75,150,1.0
157,45,3,75,88,1.0
158,31,74,24,150,0.6153846153846155
158,31,74,75,150,0.11538461538461538
158,31,74,88,150,0.15384615384615388
158,31,74,120,150,0.11538461538461538
159,45,555,120,50,1.0
160,31,74,24,88,1.0
161,31,74,75,10,1.0
162,31,74,88,10,1.0
163,45,3,120,88,1.0
164,2,145,88,150,1.0
165,45,3,75,10,0.0
165,45,3,75,50,0.75
165,45,3,75,88,0.0
165,45,3,75,150,0.25000000000000006
166,2,74,75,150,1.0
167,31,145,120,88,1.0
168,31,74,75,10,1.0
169,2,3,88,88,1.0
170,31,555,88,10,0.0
170,31,555,88,50,0.5
170,31,555,88,88,0.0
170,31,555,88,150,0.5
171,2,555,120,50,1.0
172,31,145,24,150,1.0
173,31,3,120,50,1.0
174,2,555,120,150,1.0
175,2,3,88,150,1.0
176,31,145,88,10,0.0
176,31,145,88,50,0.5
176,31,145,88,88,0.0
176,31,145,88,150,0.5
177,2,3,75,10,1.0
178,2,74,75,88,1.0
179,31,74,120,88,1.0
180,2,555,120,150,1.0
181,31,74,75,10,1.0
182,45,145,75,50,1.0
183,45,145,120,88,1.0
184,2,555,75,50,1.0
185,2,74,75,50,1.0
186,45,145,24,150,1.0
187,31,145,75,88,1.0
188,2,74,75,88,1.0
189,2,555,120,10,1.0
190,2,555,120,10,0.0
190,2,555,120,50,0.4000000000000001
190,2,555,120,88,0.0
190,2,555,120,150,0.6
191,2,145,88,150,1.0
192,45,555,88,10,1.0
193,31,555,88,50,1.0
194,31,555,88,88,1.0
195,2,145,88,50,1.0
196,2,74,24,150,1.0
197,31,3,75,10,1.0
198,2,555,24,150,0.32000000000000006
198,2,555,75,150,0.08000000000000002
198,2,555,88,150,0.24
198,2,555,120,150,0.36
199,31,3,88,88,1.0
200,31,74,75,88,1.0
201,2,3,75,88,1.0
202,31,74,75,10,1.0
203,31,555,88,150,1.0
204,2,555,120,150,1.0
205,2,3,88,150,1.0
206,2,555,120,50,1.0
207,45,3,88,88,1.0
208,31,3,88,50,1.0
209,2,3,120,150,1.0
210,31,555,120,88,1.0
211,2,74,24,150,1.0
212,2,74,24,150,1.0
213,31,3,120,10,0.0
213,31,3,120,50,0.1882352941176471
213,31,3,120,88,0.0
213,31,3,120,150,0.28235294117647064
213,31,74,120,10,0.0
213,31,74,120,50,0.0
213,31,74,120,88,0.0
213,31,74,120,150,0.0
213,31,145,120,10,0.0
213,31,145,120,50,0.0
213,31,145,120,88,0.0
213,31,145,120,150,0.0
213,31,555,120,10,0.0
213,31,555,120,50,0.21176470588235294
213,31,555,120,88,0.0
213,31,555,120,150,0.31764705882352934
214,45,3,75,10,1.0
215,45,555,24,88,1.0
216,45,3,120,88,1.0
217,2,74,75,50,1.0
218,2,145,75,88,1.0
219,31,74,24,88,1.0
220,31,145,88,10,0.0
220,31,145,88,50,0.5
220,31,145,88,88,0.0
220,31,145,88,150,0.5
221,45,145,75,88,1.0
222,31,555,120,88,1.0
223,2,3,75,50,1.0
224,31,555,88,50,1.0
225,31,555,88,88,1.0
226,45,3,88,88,1.0
227,45,145,120,88,1.0
228,2,145,88,150,1.0
229,31,74,24,88,1.0
230,31,74,75,50,1.0
231,45,3,120,88,0.8421052631578948
231,45,74,120,88,0.0
231,45,145,120,88,0.0
231,45,555,120,88,0.15789473684210525
232,31,145,75,10,1.0
233,2,74,88,10,1.0
234,2,145,120,150,1.0
235,2,3,120,150,1.0
236,2,145,88,88,1.0
237,31,145,75,50,1.0
238,31,3,120,88,1.0
