block_id,A,B,C,D,probability
0,45,555,88,50,1.0
1,2,74,88,10,1.0
2,2,3,24,150,1.0
3,2,145,75,150,1.0
4,31,3,24,150,1.0
5,31,74,24,50,1.0
6,31,555,88,50,1.0
7,31,555,75,50,1.0
8,2,145,120,88,1.0
9,31,74,75,50,1.0
10,31,74,24,88,1.0
11,45,145,88,150,1.0
12,31,555,24,150,1.0
13,31,74,75,50,1.0
14,31,555,75,10,1.0
15,2,145,75,10,1.0
16,31,74,75,10,1.0
17,45,74,88,150,1.0
18,45,3,88,50,1.0
19,2,74,24,150,1.0
20,31,74,24,150,1.0
21,31,74,24,150,0.0
21,31,74,75,150,0.5
21,31,74,88,150,0.0
21,31,74,120,150,0.5
22,2,3,120,50,1.0
23,45,3,75,150,1.0
24,31,145,75,10,1.0
25,45,3,75,88,1.0
26,45,3,120,88,1.0
27,45,3,24,150,1.0
28,31,74,24,10,0.0
28,31,74,75,10,0.923076923076923
28,31,74,88,10,0.0
28,31,74,120,10,0.07692307692307693
29,2,3,75,50,1.0
30,2,145,88,150,1.0
31,2,3,120,50,1.0
32,2,3,88,150,1.0
33,31,74,75,88,1.0
34,31,3,75,150,1.0
35,2,3,75,150,0.6
35,2,74,75,150,0.0
35,2,145,75,150,0.0
35,2,555,75,150,0.4000000000000001
36,45,145,24,150,1.0
37,2,74,24,10,0.0
37,2,74,24,50,0.0
37,2,74,24,88,0.0
37,2,74,24,150,0.0
37,2,74,75,10,0.0
37,2,74,75,50,0.21428571428571427
37,2,74,75,88,0.0
37,2,74,75,150,0.07142857142857142
37,2,74,88,10,0.0
37,2,74,88,50,0.0
37,2,74,88,88,0.0
37,2,74,88,150,0.0
37,2,74,120,10,0.0
37,2,74,120,50,0.2857142857142857
37,2,74,120,88,0.0
37,2,74,120,150,0.42857142857142855
38,2,145,88,88,1.0
39,2,74,120,150,1.0
40,2,145,88,150,1.0
41,31,3,88,50,1.0
42,31,145,88,10,1.0
43,31,145,75,10,1.0
44,45,3,88,88,1.0
45,2,145,120,150,1.0
46,2,74,88,150,1.0
47,45,3,120,10,1.0
48,45,3,88,50,1.0
49,2,145,120,88,1.0
50,2,145,88,10,1.0
51,45,3,88,88,1.0
52,45,145,24,88,1.0
53,45,3,75,50,1.0
54,2,145,75,50,1.0
55,2,555,88,50,1.0
56,2,3,75,10,1.0
57,31,145,75,88,1.0
58,2,145,120,10,1.0
59,45,3,24,150,1.0
60,31,145,24,150,1.0
61,31,3,75,88,1.0
62,2,555,75,10,1.0
63,2,74,88,10,1.0
64,2,74,88,88,1.0
65,2,3,88,88,1.0
66,31,555,88,10,0.0
66,31,555,88,50,0.5
66,31,555,88,88,0.0
66,31,555,88,150,0.5
67,2,555,120,50,1.0
68,45,3,24,88,1.0
69,31,145,88,10,0.0
69,31,145,88,50,0.5
69,31,145,88,88,0.0
69,31,145,88,150,0.5
70,45,555,88,10,0.0
70,45,555,88,50,0.5
70,45,555,88,88,0.0
