block_id,A,B,probability
0,10,100,1
1,21,100,1
2,10,13,0
2,10,55,0
2,10,100,1
3,21,100,1
4,21,100,1
5,23,13,1
6,10,100,1
7,10,100,1
8,10,13,0
8,10,55,0
8,10,100,1
9,10,13,0
9,10,55,0
9,10,100,1
10,10,100,1
11,21,55,1
12,23,100,1
13,10,55,1
14,21,55,1
15,23,55,1
16,23,13,1
17,21,55,1
18,10,100,1
19,10,100,1
20,23,55,1
21,23,13,0
21,23,55,0
21,23,100,1
22,23,13,1
23,10,55,1
24,10,100,1
25,10,13,0
25,10,55,0
25,10,100,1
26,10,100,1
27,23,100,1
28,10,55,1
29,10,13,0
29,10,55,0
29,10,100,1
30,10,100,1
31,21,13,0
31,21,55,0
31,21,100,1
32,10,100,1
33,10,55,1
34,23,13,0
34,23,55,0
34,23,100,1
35,23,55,1
36,23,13,0
36,23,55,0
36,23,100,1
37,23,13,1
38,23,13,0
38,23,55,0
38,23,100,1
39,23,13,0
39,23,55,0
39,23,100,1
40,23,13,1
41,23,100,1
42,23,13,0
42,23,55,0
42,23,100,1
43,21,55,1
44,21,100,1
45,10,100,1
46,21,13,1
47,10,100,1
48,10,55,1
49,23,100,1
50,23,100,1
51,10,100,1
52,23,100,1
53,10,55,1
54,10,13,0
54,10,55,0
54,10,100,1
55,23,55,1
56,10,100,1
57,10,100,1
58,21,100,1
59,10,100,1
60,10,13,0
60,10,55,0
60,10,100,1
61,10,13,0
61,10,55,0
61,10,100,1
62,23,13,1
63,10,13,0
63,10,55,0
63,10,100,1
64,10,13,0
64,10,55,0
64,10,100,1
65,10,100,1
66,10,100,1
67,10,100,1
68,23,13,0
68,23,55,0
68,23,100,1
69,23,100,1
70,10,100,1
71,23,13,1
72,21,100,1
73,23,100,1
74,10,55,1
75,23,55,1
76,10,100,1
77,10,100,1
78,10,55,1
79,23,13,0
79,23,55,0
79,23,100,1
80,10,55,1
81,10,100,1
82,10,13,0
82,10,55,0
82,10,100,1
83,10,55,1
84,23,13,0
84,23,55,0
84,23,100,1
85,10,100,1
86,23,55,1
87,23,13,1
88,23,13,0
88,23,55,0
88,23,100,1
89,23,100,1
90,23,100,1
91,10,13,0
91,10,55,0
91,10,100,1
92,10,13,0
92,10,55,0
92,10,100,1
93,21,13,1
94,10,100,1
95,23,55,1
96,23,13,0
96,23,55,0
96,23,100,1
97,23,13,1
98,21,100,1
99,21,55,1
100,10,13,0
100,10,55,0
100,10,100,1
101,10,100,1
102,10,100,1
103,10,55,1
104,21,13,0
104,21,55,0
104,21,100,1
105,21,100,1
106,10,100,1
107,23,13,1
108,10,13,0
108,10,55,0
108,10,100,1
109,10,13,0
109,10,55,0
109,10,100,1
110,21,55,1
111,10,13,0
111,10,55,0
111,10,100,1
112,23,55,1
113,21,100,1
114,23,100,1
115,10,100,1
116,21,100,1
117,10,100,1
118,10,100,1
119,10,13,0
119,10,55,0
119,10,100,1
120,10,100,1
121,10,100,1
122,10,100,1
123,23,13,0
123,23,55,0
123,23,100,1
124,21,13,0
124,21,55,0
124,21,100,1
125,10,100,1
126,23,13,1
127,21,13,0
127,21,55,0
