A,B_star,C
1,,33
3,10.0,18
3,100000.0,33
1,100000.0,33
2,100.0,33
2,1000.0,33
3,,33
1,100000.0,11
3,10000.0,33
1,100000.0,33
1,,33
3,10000.0,33
3,10.0,18
1,100.0,18
1,100000.0,18
3,1000.0,33
2,1000.0,11
3,10.0,33
3,,11
1,,33
1,,18
3,1000.0,33
3,100000.0,33
1,10.0,33
2,10000.0,33
1,,18
3,,33
3,,33
1,,11
1,100.0,18
3,,18
1,100000.0,33
1,,33
1,100000.0,33
2,10000.0,33
2,1000.0,11
1,10.0,33
1,100000.0,33
2,10000.0,11
3,,11
2,1000.0,11
3,,33
1,100000.0,33
1,10.0,11
2,100.0,18
1,100000.0,18
3,100.0,18
3,10.0,33
1,,18
3,1000.0,33
1,100000.0,11
1,100.0,11
3,10.0,18
3,,18
1,100.0,11
3,10.0,11
2,10000.0,18
1,10.0,33
1,100000.0,18
1,100000.0,33
2,100.0,33
1,100000.0,11
3,10.0,11
1,100000.0,33
1,,18
3,,33
1,100.0,18
3,100000.0,33
1,100000.0,33
2,10000.0,11
2,10000.0,33
2,10000.0,11
2,1000.0,33
3,100000.0,18
3,,33
1,100000.0,18
1,,11
1,100000.0,11
3,10.0,33
3,10000.0,33
3,1000.0,33
1,10.0,33
1,,11
1,100000.0,11
1,100000.0,33
3,1000.0,11
2,10000.0,18
1,100000.0,11
3,,33
2,100.0,18
2,100.0,11
1,,18
3,,33
3,1000.0,11
2,10000.0,33
3,10000.0,18
3,,11
3,,33
2,10000.0,11
3,,18
1,,33
3,,18
3,1000.0,18
3,,18
1,,33
3,,18
3,100.0,33
2,1000.0,18
3,100.0,33
1,,11
1,100000.0,33
3,,18
2,100.0,33
1,100000.0,11
1,100000.0,11
3,,18
2,100.0,33
2,1000.0,33
1,,33
3,,33
1,100000.0,18
2,1000.0,33
1,100000.0,11
1,,33
3,1000.0,18
3,10000.0,11
1,100000.0,18
1,100000.0,11
2,10000.0,11
3,10.0,11
3,,33
3,1000.0,18
2,10000.0,33
2,100.0,33
1,100000.0,11
3,10000.0,11
3,10.0,33
2,100.0,18
1,,33
2,10000.0,11
1,100000.0,11
1,100000.0,33
2,1000.0,18
3,1000.0,11
1,,33
1,100.0,11
2,100.0,11
1,100000.0,18
2,100.0,33
3,10.0,33
2,100.0,33
1,100000.0,11
1,,33
1,100.0,11
3,10.0,33
2,10000.0,33
3,,33
3,,33
2,10000.0,33
2,100.0,33
1,,18
1,10.0,33
3,100.0,33
3,100000.0,33
3,10000.0,33
3,10000.0,11
3,,18
3,100000.0,18
3,10.0,33
3,100000.0,18
2,1000.0,33
3,10.0,33
1,10.0,11
1,,33
1,,33
2,1000.0,33
1,,33
3,,33
3,10.0,33
1,10.0,33
3,100000.0,33
3,10.0,33
1,,11
1,100000.0,33
1,100000.0,33
1,10.0,33
1,100000.0,33
2,10000.0,11
2,10000.0,33
1,100000.0,33
3,1000.0,11
3,,18
2,100.0,33
3,10.0,18
3,100.0,18
3,100.0,33
3,,33
3,10000.0,11
1,,11
1,,18
3,,11
1,,18
2,1000.0,18
1,,18
1,100000.0,33
1,100.0,11
1,10.0,33
2,1000.0,33
3,10.0,33
3,1000.0,11
3,100.0,33
3,1000.0,18
2,10000.0,11
2,10000.0,33
2,100.0,11
1,100000.0,33
3,,11
2,100.0,33
1,100000.0,18
1,100000.0,33
2,1000.0,11
3,,33
1,100.0,33
3,10.0,11
3,10000.0,33
3,10.0,33
1,100000.0,18
3,1000.0,18
1,100000.0,33
3,1000.0,33
3,10.0,33
1,,11
2,1000.0,11
1,100.0,11
2,10000.0,33
1,10.0,33
1,10.0,33
2,10000.0,18
2,10000.0,33
2,10000.0,33
3,10.0,33
3,,11
3,10.0,18
1,,33
3,10000.0,11
2,1000.0,18
2,1000.0,18
2,1000.0,33
1,100000.0,11
3,1000.0,33
1,,33
2,10000.0,33
1,,18
1,100000.0,33
1,,33
3,10000.0,33
3,10000.0,33
3,10000.0,18
1,10.0,11
1,100000.0,11
3,10.0,33
3,10.0,33
3,10000.0,33
3,100.0,33
3,100.0,18
3,10000.0,33
3,,18
2,10000.0,33
1,100000.0,33
2,10000.0,11
1,,33
3,1000.0,11
2,100.0,11
2,10000.0,33
3,,11
3,10.0,33
3,100.0,33
1,100.0,33
1,100000.0,33
1,,33
1,100000.0,33
1,,18
3,,11
3,1000.0,33
3,1000.0,33
1,100000.0,33
3,10000.0,33
1,100.0,18
3,,11
2,100.0,33
1,100.0,18
1,100.0,11
1,10.0,33
1,100000.0,18
1,,33
1,100000.0,33
1,100000.0,18
1,10.0,18
1,100.0,33
3,,33
